id,fiducial,x,y,x2,y2,peak,flux,xWokMeasMetrology,yWokMeasMetrology,xWokMeasBOSS,yWokMeasBOSS,alphaMeas,betaMeas,xWokDitherFit,yWokDitherFit,sigmaWokDitherFit,configID,telAlt,telAz,telRot,FVC_SCL,FVC_TRAX,FVC_TRAY,FVC_ROT,FVC_ZB0,FVC_ZB1,FVC_ZB2,FVC_ZB3,FVC_ZB4,FVC_ZB5,FVC_ZB6,FVC_ZB9,FVC_ZB20,FVC_ZB27,FVC_ZB28,FVC_ZB29,FVC_ZB30,fvcImgNum,mjd
P3,False,3073.3589106819472,2893.2403818080543,4.776721619472582,13.924108002025207,16316.82421875,199258.515625,21.65815877938377,-13.157898136966294,22.29721415227535,-12.727895618599003,29.884734038597987,121.51620871414083,22.331378442121945,-12.724712020042062,0.0367034645403902,12966,56.281771,-14.680529,167.906294,0.12139975892965177,-102.30249797447098,-510.4396200315006,32.71216234518348,3.078642894164122e-05,4.584353359335778e-05,-0.001102893608828063,-3.3125298430214885e-05,5.2844420999186024e-05,-1.2617814167441371e-05,-1.4170765433780632e-05,0.001738312100880683,7.847981160783058e-05,1.3988767392079553e-06,-6.55781788951516e-06,-1.4716152232367716e-05,-2.1618350359600313e-06,32,60361
P40,False,3589.547903210321,4792.011516175491,6.361033551749401,6.427326441737748,28842.99609375,365584.25,-49.867829393988245,213.81953741847727,-50.2080747036304,213.15695415019184,306.4996371918073,55.976391195266736,-50.20098735558653,213.18108655665483,0.0329936543604148,12966,56.281771,-14.680529,167.906294,0.12139975892965177,-102.30249797447098,-510.4396200315006,32.71216234518348,3.078642894164122e-05,4.584353359335778e-05,-0.001102893608828063,-3.3125298430214885e-05,5.2844420999186024e-05,-1.2617814167441371e-05,-1.4170765433780632e-05,0.001738312100880683,7.847981160783058e-05,1.3988767392079553e-06,-6.55781788951516e-06,-1.4716152232367716e-05,-2.1618350359600313e-06,32,60361
P52,False,4363.317822863434,3119.2423180438204,5.622225011419019,11.981597164628312,22886.806640625,257769.328125,138.01494750154646,93.92995029634633,138.7475688996833,93.78718973791,11.42826068953116,96.2379129965173,138.7420157114336,93.81851072920897,0.0339543573668616,12966,56.281771,-14.680529,167.906294,0.12139975892965177,-102.30249797447098,-510.4396200315006,32.71216234518348,3.078642894164122e-05,4.584353359335778e-05,-0.001102893608828063,-3.3125298430214885e-05,5.2844420999186024e-05,-1.2617814167441371e-05,-1.4170765433780632e-05,0.001738312100880683,7.847981160783058e-05,1.3988767392079553e-06,-6.55781788951516e-06,-1.4716152232367716e-05,-2.1618350359600313e-06,32,60361
P56,False,1432.5316179516187,2551.698109897731,4.65852122211983,7.737438138972976,18143.505859375,209669.546875,-122.85323192616113,-155.11625467460357,-122.10282877609174,-155.11572891514345,356.2926918010181,125.75189699405261,-122.0813027412124,-155.08508486225318,0.0356626910441967,12966,56.281771,-14.680529,167.906294,0.12139975892965177,-102.30249797447098,-510.4396200315006,32.71216234518348,3.078642894164122e-05,4.584353359335778e-05,-0.001102893608828063,-3.3125298430214885e-05,5.2844420999186024e-05,-1.2617814167441371e-05,-1.4170765433780632e-05,0.001738312100880683,7.847981160783058e-05,1.3988767392079553e-06,-6.55781788951516e-06,-1.4716152232367716e-05,-2.1618350359600313e-06,32,60361
P63,False,4693.914817499987,3019.8830361310456,5.619558512560175,13.731003740873746,19525.013671875,256140.90625,178.352627735224,105.56565740742046,178.92241829544707,106.06698890882393,49.251161394666966,111.2619944479871,178.9275854659178,106.07778608644492,0.0365900116042208,12966,56.281771,-14.680529,167.906294,0.12139975892965177,-102.30249797447098,-510.4396200315006,32.71216234518348,3.078642894164122e-05,4.584353359335778e-05,-0.001102893608828063,-3.3125298430214885e-05,5.2844420999186024e-05,-1.2617814167441371e-05,-1.4170765433780632e-05,0.001738312100880683,7.847981160783058e-05,1.3988767392079553e-06,-6.55781788951516e-06,-1.4716152232367716e-05,-2.1618350359600313e-06,32,60361
P86,False,2523.4164946496217,1125.689648808285,5.132716226102872,4.748184321904205,23874.630859375,242242.640625,81.45220697875888,-229.38040229601853,82.17435358919214,-229.20080787947572,31.884104039403375,101.99290830014476,82.19000993504795,-229.21637755132,0.0374741268392766,12966,56.281771,-14.680529,167.906294,0.12139975892965177,-102.30249797447098,-510.4396200315006,32.71216234518348,3.078642894164122e-05,4.584353359335778e-05,-0.001102893608828063,-3.3125298430214885e-05,5.2844420999186024e-05,-1.2617814167441371e-05,-1.4170765433780632e-05,0.001738312100880683,7.847981160783058e-05,1.3988767392079553e-06,-6.55781788951516e-06,-1.4716152232367716e-05,-2.1618350359600313e-06,32,60361
P107,False,4566.9316667797975,1434.374787422587,5.5488509520954,5.213615714935472,24091.673828125,229706.265625,270.06328678132337,-64.27644851292997,270.73345999296833,-64.60024059108105,346.92539832787475,107.69304389678233,270.7387547906383,-64.6155365144671,0.0400704667091734,12966,56.281771,-14.680529,167.906294,0.12139975892965177,-102.30249797447098,-510.4396200315006,32.71216234518348,3.078642894164122e-05,4.584353359335778e-05,-0.001102893608828063,-3.3125298430214885e-05,5.2844420999186024e-05,-1.2617814167441371e-05,-1.4170765433780632e-05,0.001738312100880683,7.847981160783058e-05,1.3988767392079553e-06,-6.55781788951516e-06,-1.4716152232367716e-05,-2.1618350359600313e-06,32,60361
P110,False,2710.728299478063,2960.1824744143423,4.58317365332455,13.070925208376963,17854.384765625,202150.734375,-19.451991513727048,-29.975627857351256,-19.902047035372,-30.597866128611805,239.0835515222756,113.03958638242656,-19.91097937320187,-30.592136244825184,0.0344833082962716,12966,56.281771,-14.680529,167.906294,0.12139975892965177,-102.30249797447098,-510.4396200315006,32.71216234518348,3.078642894164122e-05,4.584353359335778e-05,-0.001102893608828063,-3.3125298430214885e-05,5.2844420999186024e-05,-1.2617814167441371e-05,-1.4170765433780632e-05,0.001738312100880683,7.847981160783058e-05,1.3988767392079553e-06,-6.55781788951516e-06,-1.4716152232367716e-05,-2.1618350359600313e-06,32,60361
P114,False,3080.0201331502467,637.6973876010294,5.555851436740269,5.1701818206850305,26205.359375,252162.921875,170.7015516092934,-243.48477354522902,171.2393496870741,-244.0146942597539,0.7306782651971417,76.361496599908,171.23995258006954,-243.9717235002704,0.0366106576377164,12966,56.281771,-14.680529,167.906294,0.12139975892965177,-102.30249797447098,-510.4396200315006,32.71216234518348,3.078642894164122e-05,4.584353359335778e-05,-0.001102893608828063,-3.3125298430214885e-05,5.2844420999186024e-05,-1.2617814167441371e-05,-1.4170765433780632e-05,0.001738312100880683,7.847981160783058e-05,1.3988767392079553e-06,-6.55781788951516e-06,-1.4716152232367716e-05,-2.1618350359600313e-06,32,60361
P115,False,2796.6664313781753,1056.5467634464699,5.04707845421548,4.811412147681992,23910.427734375,253399.46875,113.85041351445537,-218.57564025500776,114.55282536556103,-218.84107414028327,352.42637510863045,107.09587134264954,114.57806758949476,-218.818580806313,0.0404133346983723,12966,56.281771,-14.680529,167.906294,0.12139975892965177,-102.30249797447098,-510.4396200315006,32.71216234518348,3.078642894164122e-05,4.584353359335778e-05,-0.001102893608828063,-3.3125298430214885e-05,5.2844420999186024e-05,-1.2617814167441371e-05,-1.4170765433780632e-05,0.001738312100880683,7.847981160783058e-05,1.3988767392079553e-06,-6.55781788951516e-06,-1.4716152232367716e-05,-2.1618350359600313e-06,32,60361
